pid: 5308 ,2018-04-16 04:04:49 Recode: 平台1 sell数据抓取完毕,可插入数据长度0 
pid: 5308 ,2018-04-16 04:04:55 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:04:55 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:04:55 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:04:55 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:04:55 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:04:55 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:04:55 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:04:55 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:04:55 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:04:55 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:04:55 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:04:55 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:04:55 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:04:55 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:04:55 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:04:55 Recode: stop page by flag: https://office.shengfxchina.com:8443/report/history_trade?username=&datascope=&LOGIN=&TICKET=&PROFIT_s=&PROFIT_e=&qtype=&CMD=6&closetime=&OPEN_TIME_s=&OPEN_TIME_e=&CLOSE_TIME_s=&CLOSE_TIME_e=&comm_type=&T_LOGIN=&page=1 
pid: 5308 ,2018-04-16 04:04:56 Recode: 平台2 balance数据抓取完毕,可插入数据长度4 
pid: 5308 ,2018-04-16 04:05:03 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:05:03 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:05:03 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:05:03 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:05:03 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:05:03 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:05:03 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:05:03 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:05:03 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:05:03 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:05:03 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:05:03 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:05:03 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:05:03 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:05:03 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:05:03 Recode: stop page by flag: http://office.shengfx888.com/report/history_trade?username=&datascope=&LOGIN=&TICKET=&PROFIT_s=&PROFIT_e=&qtype=&CMD=6&closetime=&OPEN_TIME_s=&OPEN_TIME_e=&CLOSE_TIME_s=&CLOSE_TIME_e=&T_LOGIN=&page=1 
pid: 5308 ,2018-04-16 04:05:04 Recode: 平台1 balance数据抓取完毕,可插入数据长度2 
pid: 5308 ,2018-04-16 04:05:11 Recode: stop page by empty: https://office.shengfxchina.com:8443/report/history_trade?username=&datascope=&LOGIN=&TICKET=&PROFIT_s=&PROFIT_e=&qtype=&CMD=7&closetime=&OPEN_TIME_s=&OPEN_TIME_e=&CLOSE_TIME_s=&CLOSE_TIME_e=&comm_type=&T_LOGIN=&page=1 
pid: 5308 ,2018-04-16 04:05:11 Recode: 平台2 credit数据抓取完毕,可插入数据长度0 
pid: 5308 ,2018-04-16 04:05:17 Recode: begin parse_transaction_tr 
pid: 5308 ,2018-04-16 04:05:17 Recode: stop page by flag: http://office.shengfx888.com/report/history_trade?username=&datascope=&LOGIN=&TICKET=&PROFIT_s=&PROFIT_e=&qtype=&CMD=7&closetime=&OPEN_TIME_s=&OPEN_TIME_e=&CLOSE_TIME_s=&CLOSE_TIME_e=&T_LOGIN=&page=1 
pid: 5308 ,2018-04-16 04:05:17 Recode: 平台1 credit数据抓取完毕,可插入数据长度0 
