pid: 12350 ,2018-04-16 06:07:53 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:07:53 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:07:53 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:07:53 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:07:53 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:07:53 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:07:53 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:07:53 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:07:53 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:07:53 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:07:53 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:07:53 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:07:53 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:07:53 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:07:53 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:07:53 Recode: stop page by flag: https://office.shengfxchina.com:8443/report/history_trade?username=&datascope=&LOGIN=&TICKET=&PROFIT_s=&PROFIT_e=&qtype=&CMD=0&closetime=&OPEN_TIME_s=&OPEN_TIME_e=&CLOSE_TIME_s=&CLOSE_TIME_e=&comm_type=&T_LOGIN=&page=1 
pid: 12350 ,2018-04-16 06:07:53 Recode: 平台2 buy数据抓取完毕,可插入数据长度0 
pid: 12350 ,2018-04-16 06:08:18 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:18 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:18 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:18 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:18 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:18 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:18 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:18 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:18 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:18 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:18 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:18 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:18 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:18 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:18 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:18 Recode: stop page by flag: http://office.shengfx888.com/report/history_trade?username=&datascope=&LOGIN=&TICKET=&PROFIT_s=&PROFIT_e=&qtype=&CMD=0&closetime=&OPEN_TIME_s=&OPEN_TIME_e=&CLOSE_TIME_s=&CLOSE_TIME_e=&T_LOGIN=&page=1 
pid: 12350 ,2018-04-16 06:08:18 Recode: 平台1 buy数据抓取完毕,可插入数据长度0 
pid: 12350 ,2018-04-16 06:08:25 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:25 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:25 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:25 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:25 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:25 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:25 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:25 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:25 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:25 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:25 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:25 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:25 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:25 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:25 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:25 Recode: stop page by flag: https://office.shengfxchina.com:8443/report/history_trade?username=&datascope=&LOGIN=&TICKET=&PROFIT_s=&PROFIT_e=&qtype=&CMD=1&closetime=&OPEN_TIME_s=&OPEN_TIME_e=&CLOSE_TIME_s=&CLOSE_TIME_e=&comm_type=&T_LOGIN=&page=1 
pid: 12350 ,2018-04-16 06:08:27 Recode: save_transaction_data success 
pid: 12350 ,2018-04-16 06:08:27 Recode: 平台2 sell数据抓取完毕,可插入数据长度3 
pid: 12350 ,2018-04-16 06:08:34 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:34 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:34 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:34 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:34 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:34 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:34 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:34 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:34 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:34 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:34 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:34 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:34 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:34 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:34 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:34 Recode: stop page by flag: http://office.shengfx888.com/report/history_trade?username=&datascope=&LOGIN=&TICKET=&PROFIT_s=&PROFIT_e=&qtype=&CMD=1&closetime=&OPEN_TIME_s=&OPEN_TIME_e=&CLOSE_TIME_s=&CLOSE_TIME_e=&T_LOGIN=&page=1 
pid: 12350 ,2018-04-16 06:08:34 Recode: 平台1 sell数据抓取完毕,可插入数据长度0 
pid: 12350 ,2018-04-16 06:08:40 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:40 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:40 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:40 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:40 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:40 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:40 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:40 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:40 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:40 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:40 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:40 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:40 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:40 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:40 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:40 Recode: stop page by flag: https://office.shengfxchina.com:8443/report/history_trade?username=&datascope=&LOGIN=&TICKET=&PROFIT_s=&PROFIT_e=&qtype=&CMD=6&closetime=&OPEN_TIME_s=&OPEN_TIME_e=&CLOSE_TIME_s=&CLOSE_TIME_e=&comm_type=&T_LOGIN=&page=1 
pid: 12350 ,2018-04-16 06:08:42 Recode: save_transaction_data success 
pid: 12350 ,2018-04-16 06:08:42 Recode: 平台2 balance数据抓取完毕,可插入数据长度4 
pid: 12350 ,2018-04-16 06:08:50 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:50 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:50 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:50 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:50 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:50 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:50 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:50 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:50 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:50 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:50 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:50 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:50 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:50 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:50 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:08:50 Recode: stop page by flag: http://office.shengfx888.com/report/history_trade?username=&datascope=&LOGIN=&TICKET=&PROFIT_s=&PROFIT_e=&qtype=&CMD=6&closetime=&OPEN_TIME_s=&OPEN_TIME_e=&CLOSE_TIME_s=&CLOSE_TIME_e=&T_LOGIN=&page=1 
pid: 12350 ,2018-04-16 06:08:51 Recode: save_transaction_data success 
pid: 12350 ,2018-04-16 06:08:51 Recode: 平台1 balance数据抓取完毕,可插入数据长度2 
pid: 12350 ,2018-04-16 06:08:58 Recode: stop page by empty: https://office.shengfxchina.com:8443/report/history_trade?username=&datascope=&LOGIN=&TICKET=&PROFIT_s=&PROFIT_e=&qtype=&CMD=7&closetime=&OPEN_TIME_s=&OPEN_TIME_e=&CLOSE_TIME_s=&CLOSE_TIME_e=&comm_type=&T_LOGIN=&page=1 
pid: 12350 ,2018-04-16 06:08:58 Recode: 平台2 credit数据抓取完毕,可插入数据长度0 
pid: 12350 ,2018-04-16 06:09:04 Recode: begin parse_transaction_tr 
pid: 12350 ,2018-04-16 06:09:04 Recode: stop page by flag: http://office.shengfx888.com/report/history_trade?username=&datascope=&LOGIN=&TICKET=&PROFIT_s=&PROFIT_e=&qtype=&CMD=7&closetime=&OPEN_TIME_s=&OPEN_TIME_e=&CLOSE_TIME_s=&CLOSE_TIME_e=&T_LOGIN=&page=1 
pid: 12350 ,2018-04-16 06:09:04 Recode: 平台1 credit数据抓取完毕,可插入数据长度0 
pid: 12350 ,2018-04-16 06:09:12 Recode: begin parse_withdraw_tr 
pid: 12350 ,2018-04-16 06:09:12 Recode: begin parse_withdraw_tr 
pid: 12350 ,2018-04-16 06:09:12 Recode: begin parse_withdraw_tr 
pid: 12350 ,2018-04-16 06:09:12 Recode: begin parse_withdraw_tr 
pid: 12350 ,2018-04-16 06:09:12 Recode: begin parse_withdraw_tr 
pid: 12350 ,2018-04-16 06:09:12 Recode: begin parse_withdraw_tr 
pid: 12350 ,2018-04-16 06:09:12 Recode: begin parse_withdraw_tr 
pid: 12350 ,2018-04-16 06:09:12 Recode: begin parse_withdraw_tr 
pid: 12350 ,2018-04-16 06:09:12 Recode: begin parse_withdraw_tr 
pid: 12350 ,2018-04-16 06:09:12 Recode: begin parse_withdraw_tr 
pid: 12350 ,2018-04-16 06:09:12 Recode: begin parse_withdraw_tr 
pid: 12350 ,2018-04-16 06:09:12 Recode: begin parse_withdraw_tr 
pid: 12350 ,2018-04-16 06:09:12 Recode: begin parse_withdraw_tr 
pid: 12350 ,2018-04-16 06:09:12 Recode: begin parse_withdraw_tr 
pid: 12350 ,2018-04-16 06:09:12 Recode: begin parse_withdraw_tr 
pid: 12350 ,2018-04-16 06:09:12 Recode: begin parse_withdraw_tr 
pid: 12350 ,2018-04-16 06:09:12 Recode: begin parse_withdraw_tr 
pid: 12350 ,2018-04-16 06:09:12 Recode: begin parse_withdraw_tr 
pid: 12350 ,2018-04-16 06:09:12 Recode: begin parse_withdraw_tr 
pid: 12350 ,2018-04-16 06:09:12 Recode: begin parse_withdraw_tr 
pid: 12350 ,2018-04-16 06:09:12 Recode: stop page by empty: https://office.shengfxchina.com:8443/deposit/waitin?layout=yes&weburlredect=1&page=1 
pid: 12350 ,2018-04-16 06:09:12 Recode: 平台2 withdraw数据抓取完毕,可插入数据长度0 
pid: 12645 ,2018-04-16 06:10:48 Recode: begin parse_transaction_tr 
pid: 12645 ,2018-04-16 06:10:48 Recode: begin parse_transaction_tr 
pid: 12645 ,2018-04-16 06:10:48 Recode: begin parse_transaction_tr 
pid: 12645 ,2018-04-16 06:10:48 Recode: begin parse_transaction_tr 
