pid: 17043 ,2018-04-12 07:19:13 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:13 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:13 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:13 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:13 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:13 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:13 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:13 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:13 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:13 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:13 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:13 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:13 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:13 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:13 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:15 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:15 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:15 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:15 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:15 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:15 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:15 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:15 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:15 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:15 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:15 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:15 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:15 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:15 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:15 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:17 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:17 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:17 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:17 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:17 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:17 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:17 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:17 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:17 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:17 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:17 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:17 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:17 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:17 Recode: begin parse_transaction_tr 
pid: 17043 ,2018-04-12 07:19:17 Recode: begin parse_transaction_tr 
