pid: 14225 ,2018-05-18 13:01:38 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:38 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:38 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:38 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:38 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:38 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:38 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:38 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:38 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:38 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:38 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:38 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:38 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:38 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:38 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:40 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:40 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:40 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:40 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:40 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:40 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:40 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:40 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:40 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:40 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:40 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:40 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:40 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:40 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:40 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:41 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:41 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:41 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:41 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:41 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:42 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:42 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:42 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:42 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:42 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:42 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:42 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:42 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:42 Recode: begin parse_transaction_tr 
pid: 14225 ,2018-05-18 13:01:42 Recode: begin parse_transaction_tr 
pid: 14479 ,2018-05-18 13:03:05 Recode: begin parse_transaction_tr 
pid: 14479 ,2018-05-18 13:03:05 Recode: begin parse_transaction_tr 
pid: 14479 ,2018-05-18 13:03:05 Recode: begin parse_transaction_tr 
pid: 14479 ,2018-05-18 13:03:05 Recode: begin parse_transaction_tr 
pid: 14479 ,2018-05-18 13:03:06 Recode: begin parse_transaction_tr 
pid: 14479 ,2018-05-18 13:03:06 Recode: begin parse_transaction_tr 
pid: 14479 ,2018-05-18 13:03:06 Recode: begin parse_transaction_tr 
pid: 14479 ,2018-05-18 13:03:06 Recode: begin parse_transaction_tr 
pid: 14479 ,2018-05-18 13:03:06 Recode: begin parse_transaction_tr 
pid: 14479 ,2018-05-18 13:03:06 Recode: begin parse_transaction_tr 
